likely_mpid,expt_gap,formula
,0.0,Ag(AuS)2
mp-29717,0.0,Ag(W3Br7)2
,1.83,Ag0.5Ge1Pb1.75S4
,1.51,Ag0.5Ge1Pb1.75Se4
,0.0,Ag2BBr
mp-23558,0.0,Ag2BiO3
mp-9900,1.98,Ag2GeS3
,0.9,Ag2GeSe3
mp-23485,2.47,Ag2HgI4
mp-1203404,3.06,Ag2Mo(I2O7)2
mp-557644,0.0,Ag2P2PbO7
mp-5495,0.18,Ag2PdO2
mp-5408,0.0,Ag3AsO4
,0.0,Ag3Pd
mp-510453,0.0,Ag3RuO4
mp-554648,1.4,Ag5IO6
,0.0,Ag7(SI)2
mp-15077,1.0,Ag7AsS6
,1.0,Ag7AsSe6
,0.0,Ag7NO11
mp-9770,1.18,Ag8GeS6
mp-17984,0.71,Ag8SnSe6
,0.0,Ag9(PbO3)4
mp-561034,0.0,Ag9Ge2IO8
mp-4483,1.4,AgAsSe2
,0.0,AgAu3
mp-556434,1.7,AgBi(PS3)2
mp-569126,1.4,AgBi(PSe3)2
,1.2,AgBiPbS3
,0.13,AgBiPbSe3
mp-29678,0.9,AgBiS2
mp-27916,0.34,AgBiSe2
mp-23231,2.52,AgBr
mp-6781,0.0,AgCNO
mp-22922,5.13,AgCl
mp-7592,2.8,AgF
,0.0,AgGeO3
mp-499,1.57,AgO
mp-1195243,1.47,AgP15
mp-1193499,1.5,AgPd(IO3)3
,0.0,AgPdO2
mp-30353,0.0,AgPt3
mp-1006372,0.18,AgSO4
,0.8,AgTe2As
mp-505473,0.0,Al(Ni10B7)2
,0.0,Al(NiS2)2
,1.6,Al0.01Cd0.99Sb0.01Te0.99
,2.27,Al0.01Ga0.99P1
,1.3,Al0.01In0.99P1
,1.37,Al0.05Cd0.95Sb0.05Te0.95
,1.6,Al0.15Ga0.85As1
,1.36,Al0.1Cd0.9Sb0.1Te0.9
,1.5,Al0.1In0.9P1
,2.3,Al0.2Ga0.8P1
,1.7,Al0.2In0.8P1
,2.0,Al0.35Ga0.65As1
,1.81,Al0.3Ga0.7As1
,1.9,Al0.3In0.7P1
,1.93,Al0.45Cd0.55Sb0.45Te0.55
,1.8,Al0.4Cd0.6Sb0.4Te0.6
,2.35,Al0.4Ga0.6P1
,2.12,Al0.4In0.6P1
,2.12,Al0.5Ga0.5As1
,2.3,Al0.6Ga0.4As1
,2.4,Al0.6Ga0.4P1
,2.3,Al0.6In0.4P1
,2.42,Al0.75Ga0.25As1
,2.3,Al0.7In0.3P1
,2.43,Al0.8Ga0.2P1
,2.21,Al0.99Cd0.01Sb0.99Te0.01
,2.49,Al0.99Ga0.01P1
,2.4,Al0.99In0.01P1
mp-16722,0.0,Al10V
mp-17880,0.0,Al13Ru4
,0.0,Al2(CuSe2)3
mp-1982,0.0,Al21Pt8
,0.0,Al2CoIr
,0.0,Al2Cr2O7
,0.0,Al2CrS4
mp-998,0.0,Al2Cu
,0.0,Al2FeNi
mp-10910,0.0,Al2Ru
mp-684638,4.1,Al2S3
mp-11674,3.1,Al2Se3
,0.0,Al3Tc
,0.0,Al4Cu2O7
mp-593,0.0,Al4Cu9
mp-1791,0.0,Al5Rh2
mp-570001,0.0,Al6Fe
mp-16529,0.0,Al6Ru
mp-16718,0.0,Al6Tc
mp-569102,0.0,Al7(CN)3
mp-16488,0.0,Al9Co2
mp-12003,0.0,Al9Ir2
mp-1645,0.0,Al9Rh2
mp-9631,3.6,AlAgO2
mp-5782,3.13,AlAgS2
mp-14091,2.55,AlAgSe2
mp-14092,1.8,AlAgTe2
mp-2172,0.0,AlAs
mp-944,0.0,AlB2
,0.4,AlBi
,0.0,AlCoO3
mp-12802,0.0,AlCu3
,0.0,AlCu7O12
mp-4979,3.5,AlCuS2
mp-8017,2.06,AlCuTe2
,0.0,AlFe2Si
,0.0,AlFe4(CuO4)3
mp-1885,0.0,AlIr
,0.0,AlNi2
mp-27393,0.0,AlPd5I2
,0.0,AlSn
mp-1194859,2.9,AlV(TeO4)2
mp-4955,0.0,AlVCo2
mp-15649,1.0,As2Ir
mp-1581,4.0,As2O3
mp-2455,0.9,As2Os
mp-15954,1.15,As2Rh
mp-766,0.8,As2Ru
,2.48,As2S5
,0.0,AsAu3
mp-23317,2.6,AsBr3
,1.3,AsOsS
,0.23,AsP
,0.45,AsPPd
,0.4,AsPPt
,0.8,AsPRu
mp-20257,0.0,AsPd3Pb2
,1.2,AsRuS
mp-542810,2.4,AsS
,2.35,AsS3
,2.05,AsSI
,0.0,AsSeBr
mp-505373,1.76,AsSeI
,0.0,Au3S
,0.0,AuBrO2
mp-1196917,2.9,B2Mo(PbO2)6
mp-306,4.89,B2O3
mp-558521,4.64,B2Se2O7
,4.42,B3H2Pb2O7.5
,3.25,B3Pb10Br3O13
mp-1200969,3.64,B3Pb3NO10
mp-696746,1.64,B4C
,3.24,B4H2Pb6O13
,0.0,B4W
,0.0,B5Mo2
mp-624,1.51,B6As
mp-28395,3.3,B6P
mp-10044,1.45,BAs
mp-1105235,3.76,BH(PbO2)2
mp-1890,0.0,BMo
mp-1479,4.2,BP
,3.99,BPb2ClO3
,2.84,BPb6BrO7
mp-1201413,2.62,BPb7Br3O7
mp-21502,0.0,BRh2
,2.6,BSb
,1.8,BSbPbS4
,0.0,BSe2Cl
,0.0,BTe2As
mp-571350,0.0,Ba(AsPd)2
mp-568113,0.0,Ba(AsRh)2
mp-7349,0.0,Ba(BRh)2
mp-27660,0.0,Ba(FeS2)2
mp-849286,4.13,Ba(GaS2)2
mp-7841,3.16,Ba(GaSe2)2
mp-21943,3.06,Ba(InS2)2
mp-21766,2.63,Ba(InSe2)2
mp-571420,0.0,Ba(NiP2)2
,0.0,Ba(PdO2)2
,0.0,Ba(SnO2)4
mp-7427,0.23,Ba(ZnAs)2
,0.13,Ba1.88Ta15O32
,2.56,Ba12In4S19
mp-738639,0.0,Ba14Ir8(PdO11)3
,0.0,Ba14Na8CaN6
,2.84,Ba23Ga8(SbS19)2
,5.12,Ba2B4H2O9
mp-1199077,6.53,Ba2B6H4O13
,5.17,Ba2B6O11
mp-23127,0.0,Ba2BiSbO6
mp-6739,0.0,Ba2CaOsO6
mp-12417,0.0,Ba2CaReO6
mp-1190588,4.59,Ba2Cd(BO2)6
,0.0,Ba2Ce2O5
,1.35,Ba2CeInTe5
mp-22112,0.0,Ba2CoWO6
mp-29457,0.0,Ba2Cu5F14
mp-505618,0.0,Ba2CuWO6
mp-622105,0.0,Ba2DyCu3O7
mp-1105698,2.35,Ba2DyGaSe5
mp-1105922,1.13,Ba2DyGaTe5
mp-1106127,2.27,Ba2DyInSe5
mp-1189860,1.35,Ba2DyInTe5
mp-1105790,1.95,Ba2ErGaSe5
mp-1105724,1.15,Ba2ErGaTe5
mp-1188122,2.29,Ba2ErInSe5
mp-1106146,1.35,Ba2ErInTe5
mp-1289745,0.0,Ba2FeMoO6
mp-31756,0.0,Ba2FeReO6
,3.0,Ba2Ga8GeS16
,3.4,Ba2Ga8SiS16
mp-1195309,1.39,Ba2GaAsSe5
mp-1201906,2.38,Ba2GaBiS5
mp-1203584,2.21,Ba2GaBiSe5
mp-1202829,1.43,Ba2GaBiTe5
mp-1199702,2.55,Ba2GaS4
mp-1203387,2.51,Ba2GaSbSe5
mp-1200935,1.66,Ba2GaSbTe5
mp-1195574,1.63,Ba2GaSe4
mp-1190156,1.87,Ba2GdGaSe5
