formula,id,identifier,is_public,last_modified,project,KS_indirect_eV,KS_direct_eV,QP_indirect,QP_direct,C_value
ReTeS,5f22a098314c69f46a07386c,mp-5222,True,2020-07-30T10:27:37.742000,dtu,326.068,689.088,434.34,797.36,108.272
CoAs2,5f22a098314c69f46a07386d,mp-2715,True,2020-07-30T10:27:37.857000,dtu,99.0832,275.283,134.809,311.009,35.7258
YB4Mo,5f22a0986e5d7cb953257feb,mp-7691,True,2020-07-30T10:27:37.378000,dtu,427.823,514.519,604.931,691.627,177.108
Sb,5f22a098ad184a29bf240ae0,mp-104,True,2020-07-30T10:27:37.387000,dtu,139.434,395.313,205.335,461.214,65.9015
SiSbPt,5f22a098c5384985221ce961,mp-11152,True,2020-07-30T10:27:38.099000,dtu,469.66,598.726,664.09,793.155,194.43
FeSi,5f22a099314c69f46a07386f,mp-871,True,2020-07-30T10:27:37.987000,dtu,274.855,312.695,371.471,409.311,96.6163
SrMgSi,5f22a099314c69f46a073871,mp-15642,True,2020-07-30T10:27:38.120000,dtu,125.268,125.268,125.268,125.268,0.0
Si3Ag3(SnP3)2,5f22a0996e5d7cb953257fed,mp-18310,True,2020-07-30T10:27:37.559000,dtu,453.304,575.988,638.344,761.029,185.04
Zr3Ni3Sb4,5f22a0996e5d7cb953257fef,mp-17926,True,2020-07-30T10:27:37.784000,dtu,423.974,738.036,600.432,914.494,176.458
Mg2Sn,5f22a0996e5d7cb953257ff1,mp-2343,True,2020-07-30T10:27:37.959000,dtu,379.737,1640.73,600.111,1861.1,220.374
InAuO2,5f22a0996e5d7cb953257ff3,mp-19723,True,2020-07-30T10:27:38.130000,dtu,451.865,1369.78,624.828,1542.74,172.963
Li2ZnGe,5f22a099ad184a29bf240ae2,mp-12411,True,2020-07-30T10:27:37.616000,dtu,175.198,339.279,246.519,410.6,71.3214
CsIn3,5f22a099ad184a29bf240ae4,mp-542339,True,2020-07-30T10:27:37.789000,dtu,152.535,332.206,239.329,419.001,86.795
