snumat-id,formula,HSE,GGA
SM-1888,Ag20F16C4,3.294992,2.037844
SM-13307,Cs4Ag4Al4F24,2.143879,0.0
SM-2980,Ag2Al2O4,2.884742,1.539445
SM-3507,Ag4Al4O8,2.3900959999999998,0.84594
SM-16973,Al1Ag1S2,2.835937,1.743398
SM-16974,Ag2Al2S4,3.055806,1.8917279999999999
SM-16975,Ag2Al2Se4,2.166235999999999,1.137147
SM-17801,Ag2Al2Te4,1.838293,1.07639
SM-14907,Ba2Ag2As2,0.5201560000000001,0.0
SM-16976,Ca3Ag3As3,0.16186699999999998,0.0
SM-10681,Cs4As2Ag2S8,2.5875369999999998,1.489848
SM-10682,As2Xe4Ag2F20,3.551059,1.862139
SM-10683,Ag2Se6As2F12,2.687754,1.623
SM-10684,Ag2Hg2As2S6,1.97659,1.150497
SM-20105,Hg8O16Ag4As4,1.692346,0.726702
SM-16977,K4Ag2As2,1.734808,1.119908
SM-15764,Na4Ag2As2,1.229253,0.684651
SM-10685,As4Pb4Ag4S12,1.9351669999999999,1.173072
SM-16979,Ag4As4S4,0.476823,0.0
SM-16980,Ag6As6S12,2.332249,1.426179
SM-16981,Ag4As4Se4,0.07765100000000001,0.0
SM-16982,Ag1As1Se2,0.324715999999999,0.0
SM-14864,Sr2Ag2As2,0.350938,0.0
SM-13308,Ag2Cu8As6O24,3.04123,0.9155719999999999
SM-10686,Ag2As6O18H4,2.250247,0.694418
SM-10687,Au2Ag2Ba8O12,2.980427,1.959881
SM-17803,Ag2Au2Cl8,2.014716,0.846528
SM-10689,Au1Ag1Cs2Cl6,1.5075049999999999,0.759537
SM-2125,Ag2Au2F8,2.520362,1.082826
SM-16983,Au2Ag2Te8,0.021204,0.0
SM-2126,Ag2Au4F16,2.060208,0.29665
SM-10690,Au6Ag2Rb4I16,1.360323,0.8127289999999999
SM-4883,B12O20Ag4,3.945052,2.222712
SM-10691,Ba2F2Se2Ag2,2.234553,1.253241
SM-10692,Ag2Ba2F2Te2,2.348404,1.5215429999999999
SM-10693,Ba2Ag2La2Se6,2.326826,1.604719
SM-16984,Ba2Ag2P2,0.710516,0.121138
SM-10694,Ba4Ag4Sb4S12,2.064838,1.327256
SM-14768,Ba2Ag2Sb2,0.519553,0.0
SM-10695,Ag2Ba2Y2Se6,2.136067,1.3240939999999999
SM-10696,Y2Ba2Ag2Te6,1.429816,0.763006
SM-18463,Ba8In4Ag4S16,2.643217,1.684316999999999
SM-10697,Cs2Bi1Ag1Br6,2.162012,1.298135
SM-16985,Ca2Ag2Bi2,0.236947,0.0
SM-10698,Bi2Ag2Cl4S2,1.9950809999999999,1.080963
SM-10699,Cs2Bi1Ag1Cl6,2.849919,1.8123559999999999
SM-20106,Ag1Bi1Cr2O8,2.357544,1.4728809999999999
SM-20107,Ag1Bi1Cr4O14,3.013278,1.917619
SM-16986,K4Ag2Bi2,1.203609,0.736109
SM-4092,Bi4W8Ag4O32,3.797539,2.514819
SM-10700,Bi2Ag2P4S12,1.9776200000000002,1.166888
SM-10701,Bi2Se12P4Ag2,2.077407,1.199719
SM-17804,Ag3Bi3S6,1.090961,0.47645299999999996
SM-16988,Ag1Bi1Se2,0.427797,0.049784999999999996
SM-10702,Bi4Ag2Cl2S6,1.484521,0.796627
SM-10703,Bi4Ag2Cl2Se6,1.103107,0.517763
SM-2127,Ag1Bi2F12,2.450174,0.218723
SM-13579,Bi6Ag2S10,1.012792,0.45137499999999997
SM-16991,Mo12Br26Ag2,3.111447999999999,2.025862
SM-10704,Ag2Br2N2H6,3.95534,2.638943
SM-10705,Hg4Ag4Br4S4,2.331397,1.241031
SM-10706,Ag2Pb2O2Br2,1.068393,0.041665999999999995
SM-5169,Ag1Br1,2.013035,0.671593
SM-16992,Cs2Ag2Br4,3.329071999999999,2.034844
SM-16993,Cs2Ag2Br4,3.096206,1.8193329999999999
SM-16994,Cs8Ag4Br12,4.042447,2.7573600000000003
SM-16995,Rb8Ag4Br12,3.950965,2.646834
SM-16996,Pb4Br10Ag2,3.050442,1.958661
SM-13580,Ag2S2O6F6C2,4.554208,2.6569190000000003
SM-13581,Ag4C4N8H12,3.381309,2.228964999999999
SM-10707,K4C4O12Ag4,3.740377,2.252553
SM-4942,Ag2C2N2O2,3.649499,2.372023
SM-10708,Ag6C6N6O6,4.259021,3.154054
SM-4895,Ag2N2C2O2,2.543806,1.3000289999999999
SM-10709,Ag4S4N4C4,3.82678,2.619155
SM-10710,Ag4S4C4N4,3.680051,2.616013
SM-3942,Ag1C1N1,4.286318,2.940288
SM-4896,C4O8N12Ag4,3.704054,2.212373
SM-18462,Ag2N4C4Cl4Sb2F12,4.484769,2.957716
SM-16997,Ag2Cs2C4,3.472215,2.516797
SM-15796,Pb4Ag4S4C8N8O4H4,2.160618999999999,1.397373999999999
SM-17806,Ag1K1C2,3.371901,2.399725
SM-16998,Ag1Li1C2,2.280355,1.308579
SM-10711,Ag2Na2C4N4,3.7664619999999998,2.576314
SM-18464,Ag8O16C16,2.428664999999999,1.20222
SM-10712,Ag4Co4C16O16,3.537611,2.498679
SM-3948,Ag2C8N6,4.67318,3.357065
SM-18465,Ag2Cs4Zn2S10C10N10,4.333575,3.144434
SM-16999,P3Ca3Ag3,0.191869999999999,0.116559
SM-14627,Ag4Ca4Sb4,0.367644,0.0
SM-20109,Ag4V4Cd4O16,3.433337,1.852829
SM-10713,Ag2Cd4Ga2S8,2.092385,1.015877
SM-17808,Ag2Cl2O4,2.202747,0.522174
SM-3771,Ag4Cl4O8,2.182708,0.6160869999999999
SM-17000,Ag4Cl4O12,4.20993,2.325548
SM-10714,Ag2Pb8O8Cl2,3.194673,2.330909
SM-17001,Ag1Cl1O4,4.604647,2.631969
SM-2411,Ag4Cl4O16,4.923812,2.882815
SM-3587,Ag1Cl1O4,4.446148,2.526893
SM-587,Ag1Cl1,2.405207,0.904581
SM-524,Ag2Cl2,2.408414,0.882624
SM-588,Ag2Cl2,1.824397,0.429301
SM-17002,Cs2Ag2Cl4,3.729877,2.263873
SM-17003,Cs2Ag2Cl4,3.657946,2.216312
SM-17809,Cs2Ag2Cl6,0.021304,0.0
SM-17004,Ag4Rb8Cl12,4.404322,2.927575
SM-19911,Ag2Co2O4,1.440709,0.189223
SM-10715,Ag8Co8P8O32,3.413494,1.810657
SM-4852,Ag1Cr1O2,2.899923,1.632221
SM-10716,S12P4Cr2Ag2,1.938362,1.000199
SM-17005,Ag1Cr1S2,1.482975,0.58384
SM-17006,Cr2Ag2Te4,0.19340899999999903,0.0
SM-12949,Ag1Sc1Cr2O10H4,2.302291,1.4846409999999999
SM-4689,Ag2Cr6O16,1.94489,1.00246
SM-17810,Cs4Ag4O4,2.74904,1.4651589999999999
SM-10717,Ag2Cs2N4O12,4.439147,2.609377
SM-2981,Ag4Cs4O4,2.732304999999999,1.460508
SM-17811,Ag4Cs4O4,2.745141,1.461365
SM-10718,Cs4Ag4Se12P4,2.313418,1.362999
SM-17007,Cs4Ag4Se16,2.052412,1.2176
SM-15942,Ag2Cs4F8,2.345506,0.203156999999999
SM-10719,Cs2K1Ag1F6,2.764934,0.62853
SM-17008,Cs8Ag4I12,3.746489,2.65807
SM-10720,Cs4Ag2Nb2S8,3.142943,2.218596
SM-10721,Cs4Ag2Nb2Se8,2.645324,1.817097
SM-10722,Cs4Sb2Ag2S8,2.491449,1.446497
SM-10723,Cs4Ag2Ta2S8,3.511571,2.58846
SM-10724,Cs4Ag2V2S8,2.204025,1.58958
SM-10725,Cs10Ag2Si6O18,4.322567,2.79909
SM-17009,Ag8Cu8F24,3.753581999999999,1.312536
SM-10726,Ag4Cu4P4O16,2.157499,0.585286
SM-20110,Ag4Cu4V4O16,2.666034,0.9377759999999999
SM-17010,Ag2Cu2S2,1.282232999999999,0.636041
SM-17812,Ag2Cu2S2,1.251828,0.611795
SM-15823,Ag4Cu4S4,1.399464,0.803879
