formula,BG,fidelity
W17O47,0.0,1
MoO5,0.0,1
Fe3O4,1.0689,1
Fe3O4,0.0,1
Fe3O4,1.0663,1
FeO2,0.0,1
W10O29,0.0,1
VO2,1.2536,1
VO2,0.353599999999999,1
MnO2,0.985,1
W18O49,0.0,1
V3O10,0.0,1
VO2,0.9781,1
Cr3O5,0.698399999999999,1
V9O20,1.2888,1
Fe3O4,0.739899999999999,1
Fe8O17,0.0,1
Fe3O4,0.637,1
Mo13O33,0.0,1
CoO2,0.0,1
Fe2O3,0.220199999999999,1
WO2,0.735399999999999,1
CoO,0.2197,1
V2O5,0.5422,1
V2O5,0.4765,1
V2O5,0.8101,1
WO3,1.903299999999999,1
Fe2O3,0.283199999999999,1
Cr2O3,0.523899999999999,1
V2O5,0.9453,1
V2O5,0.5285000000000001,1
WO3,1.7942,1
CoO,0.258099999999999,1
V2O5,0.1626,1
CoO2,0.0128,1
V2O5,0.8882,1
MoO3,1.2346,1
V2O5,0.1205,1
FeO,0.2905,1
V2O5,0.5233,1
Cr2O3,0.3521,1
V2O5,0.9218,1
V2O5,0.033399999999999,1
FeO,0.0459,1
V2O5,0.6144000000000001,1
CoO2,0.0235,1
VO2,0.8943000000000001,1
Fe2O3,1.1378,1
WO2,0.9297,1
V2O5,0.705199999999999,1
MoO3,1.6532,1
VO2,0.5321,1
V2O5,0.7883,1
V2O5,0.7725000000000001,1
VO2,0.679299999999999,1
V2O5,0.6666000000000001,1
Cr2O3,0.768899999999999,1
WO2,0.7629,1
Fe2O3,1.1123,1
Fe2O3,0.121099999999999,1
CoO,0.2662,1
Cr2O3,0.467999999999999,1
V2O5,0.7321000000000001,1
V2O5,0.466699999999999,1
CoO2,0.134199999999999,1
V2O5,0.7825000000000001,1
WO2,0.8365,1
V2O5,0.7675000000000001,1
CoO2,0.02,1
V2O5,1.8967,1
MoO3,0.9064,1
V2O5,0.3371,1
V2O5,0.409299999999999,1
V2O5,0.6525000000000001,1
Fe2O3,0.3798,1
V2O5,1.8996,1
V2O5,0.5126000000000001,1
V2O5,1.5838,1
FeO,0.0541,1
V2O5,0.9141999999999992,1
V2O5,0.7431,1
WO3,2.0754,1
V2O5,0.2495,1
Cr2O3,0.274799999999999,1
V2O5,0.4488,1
V2O5,0.926099999999999,1
WO2,0.5707,1
V2O5,0.3435,1
Cr2O3,0.7144,1
Cr2O3,0.6132000000000001,1
WO3,1.9695,1
WO3,0.341599999999999,1
WO2,0.8047000000000001,1
V2O5,0.95,1
V2O5,0.9927999999999992,1
Fe2O3,0.3018,1
V2O5,0.8613000000000001,1
V2O5,1.0438,1
MoO3,0.9331,1
CoO,0.347099999999999,1
V2O5,0.8909,1
V2O5,1.1409,1
V2O5,1.073899999999999,1
Cr2O3,0.3509,1
Fe3O4,1.208999999999999,1
V2O3,1.520699999999999,1
VO2,1.246,1
WO2,1.3423,1
MoO2,0.8315999999999991,1
VO2,0.6626999999999991,1
WO2,1.677999999999999,1
MoF4,3.1313,1
WF4,1.165,1
MoO3,1.8186,1
V5O12,1.2909,1
Co7O12,0.1673,1
WO3,2.4793,1
Fe2O3,0.9977,1
Fe35O36,0.2105,1
Fe15O16,1.188899999999999,1
Fe7O9,1.138699999999999,1
Co29O40,0.0,1
Co23O32,0.0,1
Fe8O9,1.2314,1
Fe21O23,1.3538,1
V5O9,0.7785000000000001,1
VO2,1.0155,1
VO2,0.0,1
V7O13,0.5731,1
V9O17,0.5838999999999991,1
Fe23O32,0.67,1
V9O22,0.9397,1
Fe2O3,0.0,1
V5O12,1.1948,1
Cr19O48,0.3451,1
W3O10,0.0,1
Cr19O48,0.037799999999999,1
Fe32O35,0.507899999999999,1
Mo4O5,0.0,1
MnF2,3.283,1
CrO2,0.014699999999999,1
WO3,1.3106,1
WO3,1.2542,1
W5O14,0.0,1
WO3,1.653,1
CoO4,0.0161,1
MnF3,0.310999999999999,1
VO3,0.474599999999999,1
Mo2O7,0.035999999999999,1
VO2,1.0737,1
V2O5,1.7022,1
MoO3,1.6843,1
V6O13,0.0,1
V2O3,0.945299999999999,1
WO3,1.3702,1
V9O22,0.0,1
Cr9O13,0.7342000000000001,1
Mn9O13,0.0,1
Ni9O13,0.0,1
V9O13,0.0,1
Fe5O7,0.0,1
VO2,0.648,1
Mo3O8,1.2265,1
FeO,0.0,1
V3O8,0.0,1
V3O8,0.527299999999999,1
CoO2,0.9901999999999992,1
Fe13O19,0.0,1
V7O4,0.0,1
MoO4,0.9082,1
CoF3,0.2253,1
CoO2,1.2544,1
FeO,1.8157,1
VO,1.9785,1
Fe9O13,0.0,1
Co9O13,0.0,1
Cr3O8,0.0,1
Mo3O8,1.1467,1
CrO2,1.0276,1
W3O8,1.616199999999999,1
V6O13,0.5218,1
Mn5O8,0.5504,1
V2O5,1.672699999999999,1
MoF5,0.9911,1
VO2,0.7584000000000001,1
V7O3,0.0,1
MnO2,0.540999999999999,1
MoO2,0.9817,1
CrO2,0.3686,1
VO2,1.067699999999999,1
Mo3O8,0.7517,1
Fe3O4,0.032,1
V2O5,1.3794,1
Ni3O4,0.0,1
Ni5O6,0.0,1
VO2,0.255099999999999,1
FeO,0.9475,1
MnF3,1.3373,1
V12O29,0.5418000000000001,1
Mn15O32,0.0346,1
V2O3,0.0,1
VO3,0.0785,1
FeO3,0.305099999999999,1
Mn15O32,0.0,1
MnO2,0.0,1
Mo5O14,0.0,1
CoF3,1.6382,1
MnF3,0.0,1
VO,0.8225,1
WO3,1.1503,1
W3O8,1.8294,1
Mo8O23,0.337099999999999,1
Mo9O26,0.7422000000000001,1
Mo9O25,0.0,1
Mo8O23,0.9108,1
V3O5,0.0,1
W25O73,0.0,1
V2O5,2.3291,1
VO2,1.2334,1
WO3,1.3319,1
CrO,0.0,1
VO3,0.9803,1
CrO2,0.041999999999999,1
WO2,0.0,1
CrF4,1.0142,1
MoO2,0.0,1
CoF2,2.2721,1
VF2,0.0,1
FeF2,1.6921,1
NiF2,4.9116,1
MnF2,2.536299999999999,1
V8O,0.0,1
MnF3,1.0699,1
VF3,0.0,1
VO2,0.9877,1
VF5,2.7828,1
VF4,2.7491,1
VF4,1.894199999999999,1
V6O13,0.177299999999999,1
WF5,2.9429,1
CrF5,1.166799999999999,1
MoF5,1.926,1
MoO3,1.3714,1
WO3,1.4239,1
Cr3O8,0.5890000000000001,1
VO2,0.7661000000000001,1
Mn2O7,1.8242,1
CrF2,0.006399999999999,1
VF4,2.2417,1
Mo4O11,0.035299999999999,1
WO3,1.3708,1
WO3,1.905499999999999,1
WO5,0.321399999999999,1
VF5,3.290499999999999,1
VF5,3.1985,1
MnF4,0.1966,1
CrO3,1.914,1
VF5,3.198199999999999,1
Mn2F7,0.4622,1
V5F11,0.6265000000000001,1
VF5,3.0136,1
VF5,3.0203,1
VF5,2.9955,1
VF5,3.1532,1
VF5,3.3213,1
V2O5,2.1703,1
V2O3,1.4331999999999991,1
V5O12,1.0797,1
WO3,1.6296,1
VF4,1.7009,1
VF4,1.9213,1
MnO4,0.0,1
Co3O4,0.0,1
CoO2,0.9448,1
Mn3O4,0.8134999999999991,1
V13O16,0.0,1
CoF3,1.6435,1
MnF4,0.1808,1
FeF4,1.6505,1
CoF4,1.613999999999999,1
NiF4,0.8967,1
CrF4,1.315599999999999,1
FeO,1.886099999999999,1
V3F,0.0,1
CoO,0.0,1
V16O3,0.0,1
V3O7,0.0,1
Mn2O3,0.2188,1
CrF6,2.0863,1
NiF3,0.0,1
Fe13O14,0.0,1
Cr2O3,0.0,1
Fe12O13,0.0,1
VF4,1.8525,1
Mn7F16,1.4016,1
Fe41O56,0.0,1
FeF3,3.0517,1
MnF3,0.2629,1
MnF3,0.8748999999999991,1
CoF3,0.4727,1
Ni2O5,0.0,1
V2O3,1.1029,1
V2O3,0.5464,1
VF3,1.6883,1
FeF3,3.002799999999999,1
Fe2O3,1.687699999999999,1
Cr2O3,1.2217,1
CrF3,3.7828,1
CoF3,0.1612,1
FeF6,0.5263,1
MoO4,0.0,1
Fe3O4,1.0229,1
CrO,1.5811,1
CoO2,1.026399999999999,1
FeO,1.7989000000000002,1
Mn2O3,0.0,1
Mn2O3,0.3511,1
WF5,3.0418,1
CrF5,0.7746999999999991,1
MoF5,2.0761,1
VF5,2.5453,1
VO2,1.1092,1
V2O5,1.396,1
CrF4,1.5712000000000002,1
MnF3,0.4936,1
Cr2F5,1.5997,1
V3O7,1.1152,1
Mo9O26,0.4984,1
VF5,3.1601,1
Mn2F5,0.0,1
Mn2F7,0.2505,1
Cr3O4,1.077,1
VF4,1.444899999999999,1
VF4,2.310499999999999,1
CrO3,2.3376,1
Fe21O32,0.0,1
FeO,2.0878,1
V3O7,1.1603,1
NiO2,0.0,1
CrO2,0.0,1
WO2,1.4003,1
CrO2,0.5338,1
VO2,0.070399999999999,1
V3O7,0.312,1
MnO2,1.521,1
NiO2,1.4616999999999991,1
FeF3,3.1061,1
MoF3,3.3753,1
CoF3,0.0,1
VF3,1.6025,1
CrF3,3.0453,1
MnF4,0.102399999999999,1
Cr3O,0.0,1
V3F10,0.0,1
Ni15O16,0.0,1
Fe15O16,1.4826,1
Fe5O8,0.0,1
MnO2,1.9395,1
NiO2,1.6001,1
Mo3O8,0.0,1
CrO2,0.368899999999999,1
WO2,1.9916,1
MnO2,1.5791,1
MoO2,0.913899999999999,1
NiO2,1.8142,1
VO,0.783199999999999,1
Fe3O4,0.0367,1
Mn5O8,0.0,1
Fe23O32,0.009599999999999,1
Mo3O10,0.0,1
V2F9,0.6412000000000001,1
WO3,0.0,1
CrO3,0.0,1
MoO3,0.0,1
WO3,1.4934,1
WO3,1.488,1
MnO,0.0,1
WO3,1.4637,1
VF5,3.090699999999999,1
Cr2O5,0.516,1
W3O8,1.5634,1
CoO,0.7120000000000001,1
MnO2,0.8718,1
FeO,1.160999999999999,1
NiO,0.0,1
WO3,1.1401,1
V2F9,0.059499999999999,1
WO3,1.2648,1
WO3,1.208699999999999,1
NiO2,1.2727,1
MoO2,0.478799999999999,1
Fe3O,0.0,1
FeO,1.0366,1
W3O8,2.728199999999999,1
V7O3,0.821299999999999,1
Fe2O5,0.0,1
V4O7,0.0,1
V4O7,1.037999999999999,1
V4O7,1.3076,1
MoO4,0.498,1
NiF3,1.7607000000000002,1
Cr8O21,0.8535,1
WO3,1.6735,1
V5O14,0.0,1
Mn2O3,0.127999999999999,1
Cr6O11,0.0,1
Ni5O11,0.0,1
MnF4,0.0,1
Mn8O17,0.3141,1
Mn20O43,0.052,1
VO2,0.9501,1
V3O5,1.311799999999999,1
VO2,0.8258000000000001,1
VO2,0.8572000000000001,1
CoO2,0.838499999999999,1
Cr3O4,1.475999999999999,1
W9O13,0.0,1
Cr8O21,0.0,1
V4O7,0.3082,1
V4O7,0.947299999999999,1
V7O13,0.0,1
WO3,1.4463,1
V6O11,0.739899999999999,1
V5O9,0.5147,1
V4O7,0.5857,1
V8O15,0.6674999999999991,1
Cr8O21,1.7012,1
V9O17,0.0,1
VO2,1.2022,1
Mo9O26,0.4122,1
Ni9O10,0.0,1
Fe11O12,1.4282,1
Fe17O18,1.5382999999999991,1
V10O9,1.2156,1
Fe23O25,1.2771,1
Fe10O11,1.4714999999999991,1
Fe38O39,1.3910999999999991,1
VO2,1.2589,1
Fe7O8,1.0723,1
V4O7,0.357799999999999,1
MoO2,0.9129,1
V4O7,1.0157,1
V2O5,2.4605,1
Mn3F10,0.0374,1
Mn7F18,0.0,1
Fe13O15,0.0,1
Mn2F7,1.8052,1
Fe9O10,1.6184,1
Fe10O11,1.308599999999999,1
V6F13,0.074799999999999,1
Fe8O9,1.4134,1
Ni6O7,0.0,1
Co15O28,0.4962,1
Fe10O11,0.186299999999999,1
VO2,0.5491,1
Mn7O12,0.0,1
WO3,1.3986,1
Fe2O3,1.3902,1
Cr2O3,1.831,1
Ni5O4,0.0,1
MnO,0.0053,1
CoO,0.5880000000000001,1
Co5O8,0.0,1
W3O,0.0,1
Ni4O,0.0,1
Ni4O3,0.0,1
Fe3F,0.0,1
WO3,1.1124,1
MoF3,2.9582,1
FeF3,2.8517,1
W2O7,0.0,1
CrO2,0.264099999999999,1
MnO2,1.5739,1
MoO2,1.2595,1
NiO2,1.4831,1
FeF3,3.1326,1
Cr2O,0.0,1
Mo2O,0.0,1
MnO,0.1844,1
NiO,2.300899999999999,1
VO,0.9700999999999992,1
Fe7O8,0.0,1
MoF6,4.2423,1
Fe2O3,1.3134,1
Fe3O4,0.9056,1
Mn3O4,0.831199999999999,1
VO2,1.3725,1
Fe3O4,0.6627999999999991,1
VO2,0.7988000000000001,1
VO2,1.4037,1
VO2,0.115799999999999,1
MnO,0.9851,1
Fe3O4,0.566399999999999,1
W2O5,0.9705999999999992,1
Mo17O47,0.0,1
W11O12,0.0,1
Mo4O11,0.0,1
Fe2O3,1.492699999999999,1
Fe2O3,1.5103,1
VF4,1.8855,1
CrO3,1.6375,1
CoO2,1.126,1
V9O22,1.0977,1
WO5,1.4506,1
Mn3O4,0.0,1
VO2,1.4885,1
CrO3,1.3264,1
VF5,3.1001,1
V2F7,0.7895000000000001,1
Mn2F7,0.6527000000000001,1
WO5,0.5760000000000001,1
Fe25O32,0.0,1
CrO3,1.6688999999999992,1
