formula,BG,fidelity
ReTeS,434.34,3
CoAs2,134.809,3
YB4Mo,604.931,3
Sb,205.335,3
SiSbPt,664.09,3
FeSi,371.471,3
SrMgSi,125.268,3
Si3Ag3(SnP3)2,638.344,3
Zr3Ni3Sb4,600.432,3
Mg2Sn,600.111,3
InAuO2,624.828,3
Li2ZnGe,246.519,3
CsIn3,239.329,3
CuSe2O5,218.453,3
As2Rh,327.985,3
GePtSe,549.749,3
TaAgS3,135.914,3
P2Rh,462.593,3
V4As2O13,107.207,3
La3MnGaS7,549.651,3
YNiSb,218.18,3
TiS2,527.308,3
CsMnBr3,205.371,3
LiScI3,507.667,3
As2Ru,733.107,3
ScSbPt,714.997,3
YP5,684.787,3
Sr(CdAs)2,667.467,3
Sr(As3Pt2)2,288.128,3
HfSnPd,321.343,3
CaPAu,303.35,3
LaP5,290.023,3
C,402.06,3
TlBiSe2,846.076,3
KSnSb,827.656,3
KGa3,797.207,3
TaTe4I,824.226,3
YSbPt,151.526,3
OsS2,566.686,3
Cs2K4Fe2O5,184.158,3
AuSe,642.749,3
Li2AgSb,176.788,3
CoP2,618.32,3
CdSb,197.137,3
P3Au2,749.558,3
CsScCl3,756.112,3
Tl(TeMo)3,753.635,3
Ag3Te2Au,809.125,3
FeSe2,938.316,3
Si3P2Pt,892.968,3
BaCaGe,924.236,3
AuSeBr,918.195,3
KZnSb,867.049,3
BaCaSn,907.96,3
Ca2Sb,861.769,3
Bi3ClO4,4143.01,3
Nb2O5,4055.86,3
K2PtF6,4134.81,3
Na5ReO6,4052.41,3
BaLaCuTe3,2409.55,3
Cd(GaTe2)2,1757.64,3
GaP,2547.32,3
WBr6,1754.91,3
MgSiP2,2493.63,3
KYO2,1813.54,3
KAg2PS4,2530.49,3
Ga7Te10,1766.38,3
CdP2,2525.56,3
Ba3GaP3,1805.87,3
KBi(WO4)2,3239.95,3
CuBS2,3179.41,3
YBi2ClO4,3163.25,3
Rb2TaCuSe4,3225.7,3
Hg3(TeCl)2,3216.34,3
RbAg3Te2,1006.05,3
Ca2Si,999.981,3
Hg2GeSe4,997.752,3
Bi4RuI2,1000.22,3
Ta2Pd3Se8,1001.6,3
Sr3(AlN2)2,4050.64,3
TiTl2O3,4060.1,3
Li6MoN4,4118.53,3
Li4MoO5,4067.91,3
Nb2Cd2O7,4080.81,3
K2PdO2,2524.72,3
Cd2SnO4,1792.7,3
Rb2PtS2,2450.35,3
LiP,1791.92,3
